model,block_id,block_name,layer_name,layer_type,weight_shape,weight_bytes,act_bytes,dm_per_exec,cim_rows,cim_cols,cim_max_dim,cim_array_size,num_params,cim_weight_bits,cim_cell_count_w8,cim_arrays_256x256,cim_arrays_32x32,is_quantized,seq_len
dit_xl2,0,block_0,block_0.attn.qkv,linear,"(3456, 1152)",15925248,1179648,17104896,1152,3456,3456,3981312,3981312,8,31850496,486,31104,False,256
dit_xl2,0,block_0,block_0.attn.proj,linear,"(1152, 1152)",5308416,1179648,6488064,1152,1152,1152,1327104,1327104,8,10616832,162,10368,False,256
dit_xl2,0,block_0,block_0.mlp.fc1,linear,"(4608, 1152)",21233664,1179648,22413312,1152,4608,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,0,block_0,block_0.mlp.fc2,linear,"(1152, 4608)",21233664,4718592,25952256,4608,1152,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,0,block_0,block_0.adaLN_modulation.1,linear,"(6912, 1152)",31850496,4608,31855104,1152,6912,6912,7962624,7962624,8,63700992,972,62208,False,1
dit_xl2,1,block_1,block_1.attn.qkv,linear,"(3456, 1152)",15925248,1179648,17104896,1152,3456,3456,3981312,3981312,8,31850496,486,31104,False,256
dit_xl2,1,block_1,block_1.attn.proj,linear,"(1152, 1152)",5308416,1179648,6488064,1152,1152,1152,1327104,1327104,8,10616832,162,10368,False,256
dit_xl2,1,block_1,block_1.mlp.fc1,linear,"(4608, 1152)",21233664,1179648,22413312,1152,4608,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,1,block_1,block_1.mlp.fc2,linear,"(1152, 4608)",21233664,4718592,25952256,4608,1152,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,1,block_1,block_1.adaLN_modulation.1,linear,"(6912, 1152)",31850496,4608,31855104,1152,6912,6912,7962624,7962624,8,63700992,972,62208,False,1
dit_xl2,2,block_2,block_2.attn.qkv,linear,"(3456, 1152)",15925248,1179648,17104896,1152,3456,3456,3981312,3981312,8,31850496,486,31104,False,256
dit_xl2,2,block_2,block_2.attn.proj,linear,"(1152, 1152)",5308416,1179648,6488064,1152,1152,1152,1327104,1327104,8,10616832,162,10368,False,256
dit_xl2,2,block_2,block_2.mlp.fc1,linear,"(4608, 1152)",21233664,1179648,22413312,1152,4608,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,2,block_2,block_2.mlp.fc2,linear,"(1152, 4608)",21233664,4718592,25952256,4608,1152,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,2,block_2,block_2.adaLN_modulation.1,linear,"(6912, 1152)",31850496,4608,31855104,1152,6912,6912,7962624,7962624,8,63700992,972,62208,False,1
dit_xl2,3,block_3,block_3.attn.qkv,linear,"(3456, 1152)",15925248,1179648,17104896,1152,3456,3456,3981312,3981312,8,31850496,486,31104,False,256
dit_xl2,3,block_3,block_3.attn.proj,linear,"(1152, 1152)",5308416,1179648,6488064,1152,1152,1152,1327104,1327104,8,10616832,162,10368,False,256
dit_xl2,3,block_3,block_3.mlp.fc1,linear,"(4608, 1152)",21233664,1179648,22413312,1152,4608,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,3,block_3,block_3.mlp.fc2,linear,"(1152, 4608)",21233664,4718592,25952256,4608,1152,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,3,block_3,block_3.adaLN_modulation.1,linear,"(6912, 1152)",31850496,4608,31855104,1152,6912,6912,7962624,7962624,8,63700992,972,62208,False,1
dit_xl2,4,block_4,block_4.attn.qkv,linear,"(3456, 1152)",15925248,1179648,17104896,1152,3456,3456,3981312,3981312,8,31850496,486,31104,False,256
dit_xl2,4,block_4,block_4.attn.proj,linear,"(1152, 1152)",5308416,1179648,6488064,1152,1152,1152,1327104,1327104,8,10616832,162,10368,False,256
dit_xl2,4,block_4,block_4.mlp.fc1,linear,"(4608, 1152)",21233664,1179648,22413312,1152,4608,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,4,block_4,block_4.mlp.fc2,linear,"(1152, 4608)",21233664,4718592,25952256,4608,1152,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,4,block_4,block_4.adaLN_modulation.1,linear,"(6912, 1152)",31850496,4608,31855104,1152,6912,6912,7962624,7962624,8,63700992,972,62208,False,1
dit_xl2,5,block_5,block_5.attn.qkv,linear,"(3456, 1152)",15925248,1179648,17104896,1152,3456,3456,3981312,3981312,8,31850496,486,31104,False,256
dit_xl2,5,block_5,block_5.attn.proj,linear,"(1152, 1152)",5308416,1179648,6488064,1152,1152,1152,1327104,1327104,8,10616832,162,10368,False,256
dit_xl2,5,block_5,block_5.mlp.fc1,linear,"(4608, 1152)",21233664,1179648,22413312,1152,4608,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,5,block_5,block_5.mlp.fc2,linear,"(1152, 4608)",21233664,4718592,25952256,4608,1152,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,5,block_5,block_5.adaLN_modulation.1,linear,"(6912, 1152)",31850496,4608,31855104,1152,6912,6912,7962624,7962624,8,63700992,972,62208,False,1
dit_xl2,6,block_6,block_6.attn.qkv,linear,"(3456, 1152)",15925248,1179648,17104896,1152,3456,3456,3981312,3981312,8,31850496,486,31104,False,256
dit_xl2,6,block_6,block_6.attn.proj,linear,"(1152, 1152)",5308416,1179648,6488064,1152,1152,1152,1327104,1327104,8,10616832,162,10368,False,256
dit_xl2,6,block_6,block_6.mlp.fc1,linear,"(4608, 1152)",21233664,1179648,22413312,1152,4608,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,6,block_6,block_6.mlp.fc2,linear,"(1152, 4608)",21233664,4718592,25952256,4608,1152,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,6,block_6,block_6.adaLN_modulation.1,linear,"(6912, 1152)",31850496,4608,31855104,1152,6912,6912,7962624,7962624,8,63700992,972,62208,False,1
dit_xl2,7,block_7,block_7.attn.qkv,linear,"(3456, 1152)",15925248,1179648,17104896,1152,3456,3456,3981312,3981312,8,31850496,486,31104,False,256
dit_xl2,7,block_7,block_7.attn.proj,linear,"(1152, 1152)",5308416,1179648,6488064,1152,1152,1152,1327104,1327104,8,10616832,162,10368,False,256
dit_xl2,7,block_7,block_7.mlp.fc1,linear,"(4608, 1152)",21233664,1179648,22413312,1152,4608,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,7,block_7,block_7.mlp.fc2,linear,"(1152, 4608)",21233664,4718592,25952256,4608,1152,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,7,block_7,block_7.adaLN_modulation.1,linear,"(6912, 1152)",31850496,4608,31855104,1152,6912,6912,7962624,7962624,8,63700992,972,62208,False,1
dit_xl2,8,block_8,block_8.attn.qkv,linear,"(3456, 1152)",15925248,1179648,17104896,1152,3456,3456,3981312,3981312,8,31850496,486,31104,False,256
dit_xl2,8,block_8,block_8.attn.proj,linear,"(1152, 1152)",5308416,1179648,6488064,1152,1152,1152,1327104,1327104,8,10616832,162,10368,False,256
dit_xl2,8,block_8,block_8.mlp.fc1,linear,"(4608, 1152)",21233664,1179648,22413312,1152,4608,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,8,block_8,block_8.mlp.fc2,linear,"(1152, 4608)",21233664,4718592,25952256,4608,1152,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,8,block_8,block_8.adaLN_modulation.1,linear,"(6912, 1152)",31850496,4608,31855104,1152,6912,6912,7962624,7962624,8,63700992,972,62208,False,1
dit_xl2,9,block_9,block_9.attn.qkv,linear,"(3456, 1152)",15925248,1179648,17104896,1152,3456,3456,3981312,3981312,8,31850496,486,31104,False,256
dit_xl2,9,block_9,block_9.attn.proj,linear,"(1152, 1152)",5308416,1179648,6488064,1152,1152,1152,1327104,1327104,8,10616832,162,10368,False,256
dit_xl2,9,block_9,block_9.mlp.fc1,linear,"(4608, 1152)",21233664,1179648,22413312,1152,4608,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,9,block_9,block_9.mlp.fc2,linear,"(1152, 4608)",21233664,4718592,25952256,4608,1152,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,9,block_9,block_9.adaLN_modulation.1,linear,"(6912, 1152)",31850496,4608,31855104,1152,6912,6912,7962624,7962624,8,63700992,972,62208,False,1
dit_xl2,10,block_10,block_10.attn.qkv,linear,"(3456, 1152)",15925248,1179648,17104896,1152,3456,3456,3981312,3981312,8,31850496,486,31104,False,256
dit_xl2,10,block_10,block_10.attn.proj,linear,"(1152, 1152)",5308416,1179648,6488064,1152,1152,1152,1327104,1327104,8,10616832,162,10368,False,256
dit_xl2,10,block_10,block_10.mlp.fc1,linear,"(4608, 1152)",21233664,1179648,22413312,1152,4608,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,10,block_10,block_10.mlp.fc2,linear,"(1152, 4608)",21233664,4718592,25952256,4608,1152,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,10,block_10,block_10.adaLN_modulation.1,linear,"(6912, 1152)",31850496,4608,31855104,1152,6912,6912,7962624,7962624,8,63700992,972,62208,False,1
dit_xl2,11,block_11,block_11.attn.qkv,linear,"(3456, 1152)",15925248,1179648,17104896,1152,3456,3456,3981312,3981312,8,31850496,486,31104,False,256
dit_xl2,11,block_11,block_11.attn.proj,linear,"(1152, 1152)",5308416,1179648,6488064,1152,1152,1152,1327104,1327104,8,10616832,162,10368,False,256
dit_xl2,11,block_11,block_11.mlp.fc1,linear,"(4608, 1152)",21233664,1179648,22413312,1152,4608,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,11,block_11,block_11.mlp.fc2,linear,"(1152, 4608)",21233664,4718592,25952256,4608,1152,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,11,block_11,block_11.adaLN_modulation.1,linear,"(6912, 1152)",31850496,4608,31855104,1152,6912,6912,7962624,7962624,8,63700992,972,62208,False,1
dit_xl2,12,block_12,block_12.attn.qkv,linear,"(3456, 1152)",15925248,1179648,17104896,1152,3456,3456,3981312,3981312,8,31850496,486,31104,False,256
dit_xl2,12,block_12,block_12.attn.proj,linear,"(1152, 1152)",5308416,1179648,6488064,1152,1152,1152,1327104,1327104,8,10616832,162,10368,False,256
dit_xl2,12,block_12,block_12.mlp.fc1,linear,"(4608, 1152)",21233664,1179648,22413312,1152,4608,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,12,block_12,block_12.mlp.fc2,linear,"(1152, 4608)",21233664,4718592,25952256,4608,1152,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,12,block_12,block_12.adaLN_modulation.1,linear,"(6912, 1152)",31850496,4608,31855104,1152,6912,6912,7962624,7962624,8,63700992,972,62208,False,1
dit_xl2,13,block_13,block_13.attn.qkv,linear,"(3456, 1152)",15925248,1179648,17104896,1152,3456,3456,3981312,3981312,8,31850496,486,31104,False,256
dit_xl2,13,block_13,block_13.attn.proj,linear,"(1152, 1152)",5308416,1179648,6488064,1152,1152,1152,1327104,1327104,8,10616832,162,10368,False,256
dit_xl2,13,block_13,block_13.mlp.fc1,linear,"(4608, 1152)",21233664,1179648,22413312,1152,4608,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,13,block_13,block_13.mlp.fc2,linear,"(1152, 4608)",21233664,4718592,25952256,4608,1152,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,13,block_13,block_13.adaLN_modulation.1,linear,"(6912, 1152)",31850496,4608,31855104,1152,6912,6912,7962624,7962624,8,63700992,972,62208,False,1
dit_xl2,14,block_14,block_14.attn.qkv,linear,"(3456, 1152)",15925248,1179648,17104896,1152,3456,3456,3981312,3981312,8,31850496,486,31104,False,256
dit_xl2,14,block_14,block_14.attn.proj,linear,"(1152, 1152)",5308416,1179648,6488064,1152,1152,1152,1327104,1327104,8,10616832,162,10368,False,256
dit_xl2,14,block_14,block_14.mlp.fc1,linear,"(4608, 1152)",21233664,1179648,22413312,1152,4608,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,14,block_14,block_14.mlp.fc2,linear,"(1152, 4608)",21233664,4718592,25952256,4608,1152,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,14,block_14,block_14.adaLN_modulation.1,linear,"(6912, 1152)",31850496,4608,31855104,1152,6912,6912,7962624,7962624,8,63700992,972,62208,False,1
dit_xl2,15,block_15,block_15.attn.qkv,linear,"(3456, 1152)",15925248,1179648,17104896,1152,3456,3456,3981312,3981312,8,31850496,486,31104,False,256
dit_xl2,15,block_15,block_15.attn.proj,linear,"(1152, 1152)",5308416,1179648,6488064,1152,1152,1152,1327104,1327104,8,10616832,162,10368,False,256
dit_xl2,15,block_15,block_15.mlp.fc1,linear,"(4608, 1152)",21233664,1179648,22413312,1152,4608,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,15,block_15,block_15.mlp.fc2,linear,"(1152, 4608)",21233664,4718592,25952256,4608,1152,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,15,block_15,block_15.adaLN_modulation.1,linear,"(6912, 1152)",31850496,4608,31855104,1152,6912,6912,7962624,7962624,8,63700992,972,62208,False,1
dit_xl2,16,block_16,block_16.attn.qkv,linear,"(3456, 1152)",15925248,1179648,17104896,1152,3456,3456,3981312,3981312,8,31850496,486,31104,False,256
dit_xl2,16,block_16,block_16.attn.proj,linear,"(1152, 1152)",5308416,1179648,6488064,1152,1152,1152,1327104,1327104,8,10616832,162,10368,False,256
dit_xl2,16,block_16,block_16.mlp.fc1,linear,"(4608, 1152)",21233664,1179648,22413312,1152,4608,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,16,block_16,block_16.mlp.fc2,linear,"(1152, 4608)",21233664,4718592,25952256,4608,1152,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,16,block_16,block_16.adaLN_modulation.1,linear,"(6912, 1152)",31850496,4608,31855104,1152,6912,6912,7962624,7962624,8,63700992,972,62208,False,1
dit_xl2,17,block_17,block_17.attn.qkv,linear,"(3456, 1152)",15925248,1179648,17104896,1152,3456,3456,3981312,3981312,8,31850496,486,31104,False,256
dit_xl2,17,block_17,block_17.attn.proj,linear,"(1152, 1152)",5308416,1179648,6488064,1152,1152,1152,1327104,1327104,8,10616832,162,10368,False,256
dit_xl2,17,block_17,block_17.mlp.fc1,linear,"(4608, 1152)",21233664,1179648,22413312,1152,4608,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,17,block_17,block_17.mlp.fc2,linear,"(1152, 4608)",21233664,4718592,25952256,4608,1152,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,17,block_17,block_17.adaLN_modulation.1,linear,"(6912, 1152)",31850496,4608,31855104,1152,6912,6912,7962624,7962624,8,63700992,972,62208,False,1
dit_xl2,18,block_18,block_18.attn.qkv,linear,"(3456, 1152)",15925248,1179648,17104896,1152,3456,3456,3981312,3981312,8,31850496,486,31104,False,256
dit_xl2,18,block_18,block_18.attn.proj,linear,"(1152, 1152)",5308416,1179648,6488064,1152,1152,1152,1327104,1327104,8,10616832,162,10368,False,256
dit_xl2,18,block_18,block_18.mlp.fc1,linear,"(4608, 1152)",21233664,1179648,22413312,1152,4608,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,18,block_18,block_18.mlp.fc2,linear,"(1152, 4608)",21233664,4718592,25952256,4608,1152,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,18,block_18,block_18.adaLN_modulation.1,linear,"(6912, 1152)",31850496,4608,31855104,1152,6912,6912,7962624,7962624,8,63700992,972,62208,False,1
dit_xl2,19,block_19,block_19.attn.qkv,linear,"(3456, 1152)",15925248,1179648,17104896,1152,3456,3456,3981312,3981312,8,31850496,486,31104,False,256
dit_xl2,19,block_19,block_19.attn.proj,linear,"(1152, 1152)",5308416,1179648,6488064,1152,1152,1152,1327104,1327104,8,10616832,162,10368,False,256
dit_xl2,19,block_19,block_19.mlp.fc1,linear,"(4608, 1152)",21233664,1179648,22413312,1152,4608,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,19,block_19,block_19.mlp.fc2,linear,"(1152, 4608)",21233664,4718592,25952256,4608,1152,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,19,block_19,block_19.adaLN_modulation.1,linear,"(6912, 1152)",31850496,4608,31855104,1152,6912,6912,7962624,7962624,8,63700992,972,62208,False,1
dit_xl2,20,block_20,block_20.attn.qkv,linear,"(3456, 1152)",15925248,1179648,17104896,1152,3456,3456,3981312,3981312,8,31850496,486,31104,False,256
dit_xl2,20,block_20,block_20.attn.proj,linear,"(1152, 1152)",5308416,1179648,6488064,1152,1152,1152,1327104,1327104,8,10616832,162,10368,False,256
dit_xl2,20,block_20,block_20.mlp.fc1,linear,"(4608, 1152)",21233664,1179648,22413312,1152,4608,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,20,block_20,block_20.mlp.fc2,linear,"(1152, 4608)",21233664,4718592,25952256,4608,1152,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,20,block_20,block_20.adaLN_modulation.1,linear,"(6912, 1152)",31850496,4608,31855104,1152,6912,6912,7962624,7962624,8,63700992,972,62208,False,1
dit_xl2,21,block_21,block_21.attn.qkv,linear,"(3456, 1152)",15925248,1179648,17104896,1152,3456,3456,3981312,3981312,8,31850496,486,31104,False,256
dit_xl2,21,block_21,block_21.attn.proj,linear,"(1152, 1152)",5308416,1179648,6488064,1152,1152,1152,1327104,1327104,8,10616832,162,10368,False,256
dit_xl2,21,block_21,block_21.mlp.fc1,linear,"(4608, 1152)",21233664,1179648,22413312,1152,4608,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,21,block_21,block_21.mlp.fc2,linear,"(1152, 4608)",21233664,4718592,25952256,4608,1152,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,21,block_21,block_21.adaLN_modulation.1,linear,"(6912, 1152)",31850496,4608,31855104,1152,6912,6912,7962624,7962624,8,63700992,972,62208,False,1
dit_xl2,22,block_22,block_22.attn.qkv,linear,"(3456, 1152)",15925248,1179648,17104896,1152,3456,3456,3981312,3981312,8,31850496,486,31104,False,256
dit_xl2,22,block_22,block_22.attn.proj,linear,"(1152, 1152)",5308416,1179648,6488064,1152,1152,1152,1327104,1327104,8,10616832,162,10368,False,256
dit_xl2,22,block_22,block_22.mlp.fc1,linear,"(4608, 1152)",21233664,1179648,22413312,1152,4608,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,22,block_22,block_22.mlp.fc2,linear,"(1152, 4608)",21233664,4718592,25952256,4608,1152,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,22,block_22,block_22.adaLN_modulation.1,linear,"(6912, 1152)",31850496,4608,31855104,1152,6912,6912,7962624,7962624,8,63700992,972,62208,False,1
dit_xl2,23,block_23,block_23.attn.qkv,linear,"(3456, 1152)",15925248,1179648,17104896,1152,3456,3456,3981312,3981312,8,31850496,486,31104,False,256
dit_xl2,23,block_23,block_23.attn.proj,linear,"(1152, 1152)",5308416,1179648,6488064,1152,1152,1152,1327104,1327104,8,10616832,162,10368,False,256
dit_xl2,23,block_23,block_23.mlp.fc1,linear,"(4608, 1152)",21233664,1179648,22413312,1152,4608,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,23,block_23,block_23.mlp.fc2,linear,"(1152, 4608)",21233664,4718592,25952256,4608,1152,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,23,block_23,block_23.adaLN_modulation.1,linear,"(6912, 1152)",31850496,4608,31855104,1152,6912,6912,7962624,7962624,8,63700992,972,62208,False,1
dit_xl2,24,block_24,block_24.attn.qkv,linear,"(3456, 1152)",15925248,1179648,17104896,1152,3456,3456,3981312,3981312,8,31850496,486,31104,False,256
dit_xl2,24,block_24,block_24.attn.proj,linear,"(1152, 1152)",5308416,1179648,6488064,1152,1152,1152,1327104,1327104,8,10616832,162,10368,False,256
dit_xl2,24,block_24,block_24.mlp.fc1,linear,"(4608, 1152)",21233664,1179648,22413312,1152,4608,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,24,block_24,block_24.mlp.fc2,linear,"(1152, 4608)",21233664,4718592,25952256,4608,1152,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,24,block_24,block_24.adaLN_modulation.1,linear,"(6912, 1152)",31850496,4608,31855104,1152,6912,6912,7962624,7962624,8,63700992,972,62208,False,1
dit_xl2,25,block_25,block_25.attn.qkv,linear,"(3456, 1152)",15925248,1179648,17104896,1152,3456,3456,3981312,3981312,8,31850496,486,31104,False,256
dit_xl2,25,block_25,block_25.attn.proj,linear,"(1152, 1152)",5308416,1179648,6488064,1152,1152,1152,1327104,1327104,8,10616832,162,10368,False,256
dit_xl2,25,block_25,block_25.mlp.fc1,linear,"(4608, 1152)",21233664,1179648,22413312,1152,4608,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,25,block_25,block_25.mlp.fc2,linear,"(1152, 4608)",21233664,4718592,25952256,4608,1152,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,25,block_25,block_25.adaLN_modulation.1,linear,"(6912, 1152)",31850496,4608,31855104,1152,6912,6912,7962624,7962624,8,63700992,972,62208,False,1
dit_xl2,26,block_26,block_26.attn.qkv,linear,"(3456, 1152)",15925248,1179648,17104896,1152,3456,3456,3981312,3981312,8,31850496,486,31104,False,256
dit_xl2,26,block_26,block_26.attn.proj,linear,"(1152, 1152)",5308416,1179648,6488064,1152,1152,1152,1327104,1327104,8,10616832,162,10368,False,256
dit_xl2,26,block_26,block_26.mlp.fc1,linear,"(4608, 1152)",21233664,1179648,22413312,1152,4608,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,26,block_26,block_26.mlp.fc2,linear,"(1152, 4608)",21233664,4718592,25952256,4608,1152,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,26,block_26,block_26.adaLN_modulation.1,linear,"(6912, 1152)",31850496,4608,31855104,1152,6912,6912,7962624,7962624,8,63700992,972,62208,False,1
dit_xl2,27,block_27,block_27.attn.qkv,linear,"(3456, 1152)",15925248,1179648,17104896,1152,3456,3456,3981312,3981312,8,31850496,486,31104,False,256
dit_xl2,27,block_27,block_27.attn.proj,linear,"(1152, 1152)",5308416,1179648,6488064,1152,1152,1152,1327104,1327104,8,10616832,162,10368,False,256
dit_xl2,27,block_27,block_27.mlp.fc1,linear,"(4608, 1152)",21233664,1179648,22413312,1152,4608,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,27,block_27,block_27.mlp.fc2,linear,"(1152, 4608)",21233664,4718592,25952256,4608,1152,4608,5308416,5308416,8,42467328,648,41472,False,256
dit_xl2,27,block_27,block_27.adaLN_modulation.1,linear,"(6912, 1152)",31850496,4608,31855104,1152,6912,6912,7962624,7962624,8,63700992,972,62208,False,1
